name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_KdTreeFLANN_Build_Tree/100000/1/iterations:10",10,41.9,41.8,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/1/iterations:10",10,631,630,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/1/iterations:10",10,8897,8886,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/2/iterations:10",10,33.5,33.5,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/2/iterations:10",10,555,554,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/2/iterations:10",10,8239,8228,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/4/iterations:10",10,29.1,29.1,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/4/iterations:10",10,489,489,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/4/iterations:10",10,7613,7604,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/8/iterations:10",10,25.9,25.9,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/8/iterations:10",10,448,448,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/8/iterations:10",10,7176,7167,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/16/iterations:10",10,23.2,23.2,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/16/iterations:10",10,410,410,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/16/iterations:10",10,6896,6887,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/32/iterations:10",10,21.3,21.3,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/32/iterations:10",10,387,387,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/32/iterations:10",10,6679,6670,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/64/iterations:10",10,20.0,20.0,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/64/iterations:10",10,371,370,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/64/iterations:10",10,6519,6510,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/128/iterations:10",10,17.8,17.8,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/128/iterations:10",10,350,350,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/128/iterations:10",10,6410,6401,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/256/iterations:10",10,16.8,16.8,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/256/iterations:10",10,338,337,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/256/iterations:10",10,6303,6294,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/512/iterations:10",10,15.8,15.8,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/512/iterations:10",10,322,321,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/512/iterations:10",10,6185,6176,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/100000/1024/iterations:10",10,14.6,14.6,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/1000000/1024/iterations:10",10,306,306,ms,,,,,
"BM_KdTreeFLANN_Build_Tree/10000000/1024/iterations:10",10,6096,6088,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/1/iterations:10",10,70.4,70.3,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/1/iterations:10",10,1016,1015,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/1/iterations:10",10,13874,13859,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/2/iterations:10",10,61.9,61.8,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/2/iterations:10",10,919,918,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/2/iterations:10",10,12829,12815,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/4/iterations:10",10,54.6,54.6,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/4/iterations:10",10,827,826,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/4/iterations:10",10,11858,11845,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/8/iterations:10",10,48.1,48.1,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/8/iterations:10",10,756,755,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/8/iterations:10",10,10994,10982,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/16/iterations:10",10,43.1,43.0,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/16/iterations:10",10,702,701,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/16/iterations:10",10,10357,10345,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/32/iterations:10",10,38.8,38.8,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/32/iterations:10",10,656,655,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/32/iterations:10",10,9881,9869,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/64/iterations:10",10,35.3,35.3,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/64/iterations:10",10,619,618,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/10000000/64/iterations:10",10,9451,9440,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/100000/128/iterations:10",10,32.3,32.2,ms,,,,,
"BM_KdTreeNanoflann_Build_Tree/1000000/128/iterations:10",10,587,586,ms,,,,,
